Country import,Count, Value,Percent
Thailand,832,13745000000,24.75327762570235
Mexico,432,8894000000,16.017144503673823
United Arab Emirates,259,7848000000,14.133410171445037
Japan,414,5828000000,10.495605820486961
Germany,355,5109000000,9.200763578735053
USA,201,3758000000,6.7677568073764585
India,157,3018000000,5.43509580752053
